año,posición,título,artista,fecha_pico,género
1985,11,"""Ghostbusters"" ‡",Ray Parker Jr.,N/A,Electronic
1985,7,"""The Power of Love"" ‡",Frankie Goes to Hollywood,N/A,"Electronic, Non-Music"
1985,9,Like a Virgin,Madonna,N/A,Pop
1985,6,"""We All Stand Together"" ‡",Paul McCartney & The Frog Chorus,N/A,"Pop, Stage & Screen"
1985,11,"""Do They Know It's Christmas?""",Band Aid,N/A,"Electronic, Pop"
1985,10,"""Last Christmas""/""Everything She Wants"" ‡",Wham!,N/A,"Electronic, Pop"
1985,4,"""Nellie the Elephant"" ‡",Toy Dolls,N/A,Rock
1985,5,"""Everything Must Change"" ‡",Paul Young,N/A,"Rock, Pop"
1985,7,Shout,Tears for Fears,N/A,"Electronic, Rock"
1985,7,I Want to Know What Love Is,Foreigner,N/A,Rock
