año,posición,título,artista,fecha_pico,género
1957,17,"""Hound Dog"" ‡",Elvis Presley,N/A,Rock
1957,14,"""A Woman in Love"" ‡",Frankie Laine,N/A,"Folk, World, & Country"
1957,14,"""Just Walkin' in the Rain"" ‡",Johnnie Ray,N/A,"Jazz, Pop"
1957,9,"""My Prayer"" ‡",The Platters,N/A,"Rock, Pop"
1957,9,"""Rip It Up"" ‡",Bill Haley & His Comets,N/A,Rock
1957,12,"""The Green Door"" ‡",Frankie Vaughan,N/A,Pop
1957,13,"""St. Therese of the Roses"" ‡",Malcolm Vaughan,N/A,"Jazz, Pop"
1957,19,True Love,Bing Crosby & Grace Kelly,N/A,"Jazz, Stage & Screen"
1957,17,Singing the Blues,Guy Mitchell,N/A,"Rock, Pop"
1957,9,"""Cindy, Oh Cindy"" ‡",Eddie Fisher,N/A,Pop
