año,posición,título,artista,fecha_pico,género
1952,16,"""Here in My Heart""",Al Martino,N/A,"Pop, Folk, World, & Country"
1952,16,"""You Belong to Me""",Jo Stafford,N/A,Pop
1952,6,"""Somewhere Along the Way""",Nat King Cole,N/A,"Jazz, Pop"
1952,11,Isle of Innisfree,Bing Crosby,N/A,Pop
1952,10,Feet Up (Pat Him on the Po-Po),Guy Mitchell,N/A,Pop
1952,9,Half as Much,Rosemary Clooney,N/A,Pop
1952,6,"""Forget Me Not""",Vera Lynn,N/A,Pop
1952,3,"""High Noon (Do Not Forsake Me)""",Frankie Laine,N/A,"Folk, World, & Country"
1952,7,"""Sugar Bush""",Doris Day & Frankie Laine,N/A,Pop
1952,2,"""Blue Tango""",Ray Martin,N/A,Jazz
