año,posición,título,artista,fecha_pico,género
1980,7,"""Walking on the Moon"" ‡",The Police,N/A,Rock
1980,8,"""Another Brick in the Wall (Part 2)"" ‡",Pink Floyd,N/A,Rock
1980,5,"""Que Sera Mi Vida (If You Should Go)"" ‡",Gibson Brothers,N/A,Electronic
1980,7,"""I Only Want to Be with You"" ‡",The Tourists,N/A,"Rock, Pop"
1980,5,"""Rapper's Delight"" ‡",The Sugarhill Gang,N/A,"Hip Hop, Funk / Soul"
1980,5,"""I Have a Dream"" ‡",ABBA,N/A,"Rock, Pop"
1980,5,Day Trip to Bangor (Didn't We Have a Lovely Time),Fiddler's Dram,N/A,"Classic Pop And Rock, Folk"
1980,3,Wonderful Christmastime,Paul McCartney,N/A,"Rock, Pop"
1980,8,Brass in Pocket,The Pretenders,N/A,Rock
1980,2,"Tears of a Clown""/""Ranking Full Stop",The Beat,N/A,Rock
