año,posición,título,artista,fecha_pico,género
1955,16,"""Hold My Hand"" ‡",Don Cornell,N/A,Pop
1955,13,"""This Ole House"" ‡",Rosemary Clooney,N/A,"Jazz, Pop"
1955,12,"""My Son, My Son"" ‡",Vera Lynn,N/A,"Jazz, Pop"
1955,10,"""Rain Rain Rain"" ‡",Frankie Laine & The Four Lads,N/A,"Funk / Soul, Blues"
1955,7,"""Let's Have Another Party"" ‡",Winifred Atwell,N/A,"Jazz, Pop"
1955,14,The Finger of Suspicion,Dickie Valentine with The Stargazers,N/A,N/A
1955,11,Mambo Italiano,Rosemary Clooney & The Mellomen,N/A,"Jazz, Pop"
1955,6,Mr. Sandman,Dickie Valentine,N/A,"Jazz, Rock"
1955,8,"Shake, Rattle and Roll",Bill Haley & His Comets,N/A,Rock
1955,3,I Can't Tell a Waltz from a Tango,Alma Cogan,N/A,Pop
