año,posición,título,artista,fecha_pico,género
1967,13,"""Green, Green Grass of Home"" ‡",Tom Jones,N/A,Pop
1967,5,"""My Mind's Eye"" ‡",Small Faces,N/A,"Rock, Pop"
1967,9,"""Morningtown Ride"" ‡",The Seekers,N/A,"Pop, Folk, World, & Country"
1967,4,"""Friday on My Mind"" ‡",The Easybeats,N/A,Rock
1967,5,"""Dead End Street"" ‡",The Kinks,N/A,"Rock, Pop"
1967,4,"""You Keep Me Hangin' On"" ‡",The Supremes,N/A,Funk / Soul
1967,2,"""What Becomes of the Brokenhearted""",Jimmy Ruffin,N/A,Funk / Soul
1967,5,Sunshine Superman,Donovan,N/A,Rock
1967,5,Save Me,"Dave Dee, Dozy, Beaky, Mick & Tich",N/A,Rock
1967,1,If Every Day Was Like Christmas,Elvis Presley,N/A,"Jazz, Rock"
