año,posición,título,artista,fecha_pico,género
1991,9,"""Ice Ice Baby"" ‡",Vanilla Ice,N/A,Hip Hop
1991,5,"""Saviour's Day"" ‡",Cliff Richard,N/A,"Rock, Pop"
1991,5,"""Justify My Love"" ‡",Madonna,N/A,"Electronic, Hip Hop"
1991,6,"""All Together Now"" ‡",The Farm,N/A,"Electronic, Rock"
1991,4,"""You've Lost That Lovin' Feelin'""/""Ebb Tide"" ‡",The Righteous Brothers,N/A,Pop
1991,7,Sadeness (Part I),Enigma,N/A,Electronic
1991,4,"""Mary Had a Little Boy"" ‡",Snap!,N/A,Electronic
1991,4,Pray,MC Hammer,N/A,"Electronic, Hip Hop"
1991,5,The Grease Megamix,John Travolta & Olivia Newton-John,N/A,"Rock, Pop"
1991,3,Bring Your Daughter... to the Slaughter,Iron Maiden,N/A,Rock
