año,posición,título,artista,fecha_pico,género
1973,9,"""My Ding-a-Ling"" ‡",Chuck Berry,N/A,Rock
1973,10,"""Crazy Horses"" ‡",The Osmonds,N/A,"Rock, Pop"
1973,8,"""Gudbuy T'Jane"" ‡",Slade,N/A,Rock
1973,7,Solid Gold Easy Action,T. Rex,N/A,Rock
1973,11,"""Long Haired Lover from Liverpool"" ‡",Little Jimmy Osmond,N/A,Pop
1973,2,"""Shotgun Wedding""",Roy C,N/A,Funk / Soul
1973,3,"""Happy Xmas (War is Over)"" ‡","John Lennon, Yoko Ono & Plastic Ono Band with the Harlem Community Choir",N/A,Rock
1973,3,"""Nights in White Satin""",The Moody Blues,N/A,Rock
1973,5,The Jean Genie,David Bowie,N/A,Rock
1973,4,"""Hi, Hi, Hi""/""C Moon""",Wings,N/A,"Rock, Pop"
