año,posición,título,artista,fecha_pico,género
1972,7,"""Gypsys, Tramps & Thieves"" ‡",Cher,N/A,Pop
1972,9,"""Jeepster"" ‡",T. Rex,N/A,Rock
1972,8,"""Ernie (The Fastest Milkman in the West)"" ‡",Benny Hill,N/A,"Pop, Stage & Screen"
1972,5,"""Tokoloshe Man"" ‡",John Kongos,N/A,"Rock, Pop"
1972,5,"""Theme from Shaft"" ‡",Isaac Hayes,N/A,"Jazz, Funk / Soul"
1972,5,Something Tells Me (Something's Gonna Happen Tonight),Cilla Black,N/A,"Pop, Stage & Screen"
1972,8,"""I'd Like to Teach the World to Sing (In Perfect Harmony)"" (#5)",The New Seekers,N/A,"Rock, Pop"
1972,4,Softly Whispering I Love You,The Congregation,N/A,Rock
1972,4,Soley Soley,Middle of the Road,N/A,Pop
1972,5,I Just Can't Help Believing,Elvis Presley,N/A,"Rock, Pop"
