año,posición,título,artista,fecha_pico,género
1986,8,"""I'm Your Man"" ‡",Wham!,N/A,"Electronic, Pop"
1986,8,"""Saving All My Love for You"" ‡",Whitney Houston,N/A,"Electronic, Rock"
1986,6,"""See the Day"" ‡",Dee C. Lee,N/A,"Jazz, Rock"
1986,6,"""Separate Lives"" ‡",Phil Collins & Marilyn Martin,N/A,"Pop, Stage & Screen"
1986,5,"""Dress You Up"" ‡",Madonna,N/A,"Electronic, Pop"
1986,4,"""Do They Know It's Christmas?"" ‡",Band Aid,N/A,"Electronic, Pop"
1986,8,West End Girls,Pet Shop Boys,N/A,Electronic
1986,5,"""Merry Christmas Everyone"" ‡",Shakin' Stevens,N/A,"Rock, Pop"
1986,3,"""Last Christmas"" ‡",Wham!,N/A,Pop
1986,3,"""Walking in the Air"" ‡",Aled Jones,N/A,"Classical, Stage & Screen"
