año,posición,título,artista,fecha_pico,género
1971,10,"""Cracklin' Rosie"" ‡",Neil Diamond,N/A,Pop
1971,10,"""I Hear You Knocking"" ‡",Dave Edmunds,N/A,Rock
1971,9,"""Ride a White Swan""",T. Rex,N/A,Rock
1971,8,"""When I'm Dead And Gone"" ‡",McGuinness Flint,N/A,"Rock, Pop"
1971,6,"""It's Only Make Believe"" ‡",Glen Campbell,N/A,"Folk, World, & Country"
1971,6,"""Home Lovin' Man"" ‡",Andy Williams,N/A,Pop
1971,8,I'll Be There,The Jackson 5,N/A,Funk / Soul
1971,10,Grandad,Clive Dunn,N/A,Pop
1971,5,"""Nothing Rhymed"" ‡",Gilbert O'Sullivan,N/A,"Pop, Folk, World, & Country"
1971,3,"""My Prayer"" ‡",Gerry Monroe,N/A,Pop
