año,posición,título,artista,fecha_pico,género
1984,8,"""Love of the Common People"" ‡",Paul Young,N/A,"Electronic, Rock"
1984,7,"""Hold Me Now"" ‡",Thompson Twins,N/A,"Electronic, Pop"
1984,7,"""Only You"" ‡",The Flying Pickets,N/A,Rock
1984,5,"""My Oh My"" ‡",Slade,N/A,Rock
1984,5,"""Victims"" ‡",Culture Club,N/A,Pop
1984,6,Tell Her About It,Billy Joel,N/A,"Rock, Pop"
1984,5,Marguerita Time,Status Quo,N/A,Rock
1984,5,Islands in the Stream,Kenny Rogers & Dolly Parton,N/A,"Pop, Folk, World, & Country"
1984,5,Pipes of Peace,Paul McCartney,N/A,"Rock, Pop"
1984,4,What Is Love?,Howard Jones,N/A,"Electronic, Pop"
