año,posición,título,artista,fecha_pico,género
1989,6,"""Cat Among the Pigeons""/""Silent Night"" ‡",Bros,N/A,Pop
1989,6,"""Mistletoe and Wine"" ‡",Cliff Richard,N/A,"Rock, Pop"
1989,9,Especially for You,Kylie Minogue & Jason Donovan,N/A,Pop
1989,6,"""Suddenly"" ‡",Angry Anderson,N/A,Rock
1989,9,Crackers International (EP),Erasure,N/A,Electronic
1989,6,Good Life,Inner City,N/A,Electronic
1989,4,"""Burning Bridges"" ‡",Status Quo,N/A,Rock
1989,5,Buffalo Stance,Neneh Cherry,N/A,"Electronic, Hip Hop"
1989,3,Loco in Acapulco,Four Tops,N/A,"Funk / Soul, Pop"
1989,2,Four Letter Word,Kim Wilde,N/A,Electronic
