año,posición,título,artista,fecha_pico,género
1963,16,"""Telstar"" ‡",The Tornados,N/A,Rock
1963,10,"""Let's Dance"" ‡",Chris Montez,N/A,"Rock, Pop"
1963,12,"""Lovesick Blues"" ‡",Frank Ifield,N/A,Pop
1963,9,"""Bobby's Girl"" ‡",Susan Maughan,N/A,Pop
1963,10,(Dance With The) Guitar Man,Duane Eddy,N/A,Pop
1963,8,"""Sun Arise"" ‡",Rolf Harris,N/A,Pop
1963,9,"""Return to Sender"" ‡",Elvis Presley,N/A,Rock
1963,11,"The Next Time""/""Bachelor Boy",Cliff Richard & The Shadows,N/A,Rock
1963,2,Rockin' Around the Christmas Tree,Brenda Lee,N/A,"Rock, Pop"
1963,7,Dance On!,The Shadows,N/A,"Rock, Pop"
