año,posición,título,artista,fecha_pico,género
1962,7,"""Take Good Care of My Baby"" ‡",Bobby Vee,N/A,Pop
1962,7,"""Tower of Strength"" ‡",Frankie Vaughan,N/A,"Rock, Pop"
1962,9,Moon River,Danny Williams,N/A,"Pop, Stage & Screen"
1962,9,Midnight in Moscow,Kenny Ball & His Jazzmen,N/A,Jazz
1962,5,"""Johnny Will"" ‡",Pat Boone,N/A,Pop
1962,17,"""Stranger on the Shore""",Mr. Acker Bilk,N/A,Jazz
1962,6,Let There Be Drums,Sandy Nelson,N/A,Rock
1962,8,Happy Birthday Sweet Sixteen,Neil Sedaka,N/A,Pop
1962,9,I'd Never Find Another You,Billy Fury,N/A,"Rock, Pop"
1962,11,The Young Ones,Cliff Richard & The Shadows,N/A,Rock
