año,posición,título,artista,fecha_pico,género
1982,6,"""Daddy's Home"" ‡",Cliff Richard,N/A,Pop
1982,8,"""Don't You Want Me"" ‡",The Human League,N/A,"Electronic, Pop"
1982,6,It Must Be Love,Madness,N/A,"Rock, Pop"
1982,6,Ant Rap,Adam and the Ants,N/A,Rock
1982,4,"""Wedding Bells"" ‡",Godley & Creme,N/A,"Electronic, Funk / Soul"
1982,5,"""One of Us"" ‡",ABBA,N/A,Pop
1982,9,The Land of Make Believe,Bucks Fizz,N/A,Pop
1982,6,I'll Find My Way Home,Jon and Vangelis,N/A,Electronic
1982,2,"""Rock 'n' Roll"" ‡",Status Quo,N/A,Rock
1982,5,Mirror Mirror,Dollar,N/A,"Electronic, Pop"
