año,posición,título,artista,fecha_pico,género
1977,9,"""Under the Moon of Love"" ‡",Showaddywaddy,N/A,"Rock, Pop"
1977,7,"""Somebody to Love"" ‡",Queen,N/A,Rock
1977,6,"""Love Me"" ‡",Yvonne Elliman,N/A,"Rock, Pop"
1977,9,"""Money, Money, Money"" ‡",ABBA,N/A,"Rock, Pop"
1977,5,"""Livin' Thing"" ‡",Electric Light Orchestra,N/A,Rock
1977,6,"""When a Child Is Born"" ‡",Johnny Mathis,N/A,Pop
1977,6,Portsmouth,Mike Oldfield,N/A,Rock
1977,2,"""Lean on Me"" ‡",Mud,N/A,Rock
1977,5,Living Next Door to Alice,Smokie,N/A,Rock
1977,9,"""Don't Give Up on Us"" (#2)",David Soul,N/A,Pop
