año,posición,título,artista,fecha_pico,género
1976,8,"""You Sexy Thing"" ‡",Hot Chocolate,N/A,"Funk / Soul, Pop"
1976,12,"""Bohemian Rhapsody"" ‡",Queen,N/A,Rock
1976,6,"""The Trail of the Lonesome Pine"" ‡",Laurel and Hardy with The Avalon Boys featuring Chill Wills,N/A,N/A
1976,6,"""Let's Twist Again""/""The Twist"" ‡",Chubby Checker,N/A,Rock
1976,4,"""I Believe in Father Christmas"" ‡",Greg Lake,N/A,Rock
1976,4,"""Happy to Be on an Island in the Sun"" ‡",Demis Roussos,N/A,Pop
1976,4,"""Golden Years"" ‡",David Bowie,N/A,"Rock, Funk / Soul"
1976,3,Wide Eyed and Legless,Andy Fairweather Low,N/A,"Rock, Pop"
1976,2,Art for Art's Sake,10cc,N/A,Rock
1976,6,Mamma Mia,ABBA,N/A,Pop
