año,posición,título,artista,fecha_pico,género
2019,16,"""Shotgun"" ‡",George Ezra,N/A,"Rock, Blues"
2019,7,"""Lost Without You"" ‡",Freya Ridings,N/A,Pop
2019,13,"""Sunflower""",Post Malone & Swae Lee,N/A,"Hip Hop, Pop"
2019,7,"""Zeze"" ‡",Kodak Black featuring Travis Scott & Offset,N/A,Hip Hop
2019,12,"""Thank U, Next"" ‡",Ariana Grande,N/A,"Hip Hop, Funk / Soul"
2019,9,"""Without Me"" ‡",Halsey,N/A,"Electronic, Pop"
2019,12,"""Sweet but Psycho"" (#6)",Ava Max,N/A,"Pop, Dance"
2019,8,"""All I Want for Christmas Is You""",Mariah Carey,N/A,"Hip Hop, Funk / Soul"
2019,3,"""Rewrite the Stars""",James Arthur & Anne-Marie,N/A,N/A
2019,10,"""Nothing Breaks Like a Heart""",Mark Ronson featuring Miley Cyrus,N/A,Pop
