año,posición,título,artista,fecha_pico,género
1990,7,"""You Got It (The Right Stuff)"" ‡",New Kids on the Block,N/A,"Hip Hop, Rock"
1990,7,"""Lambada"" ‡",Kaoma,N/A,"Latin, Pop"
1990,7,"""Get a Life"" ‡",Soul II Soul,N/A,"Electronic, Funk / Soul"
1990,7,"""When You Come Back to Me"" ‡",Jason Donovan,N/A,Pop
1990,4,"""Let's Party"" ‡",Jive Bunny and the Mastermixers,N/A,Rock
1990,5,"""Dear Jessie"" ‡",Madonna,N/A,"Electronic, Pop"
1990,4,"""Donald Where's Your Troosers?"" ‡",Andy Stewart,N/A,"Pop, Folk, World, & Country"
1990,4,"""Do They Know It's Christmas?"" ‡",Band Aid II,N/A,Electronic
1990,2,"The Magic Number""/""Buddy",De La Soul,N/A,Hip Hop
1990,5,Hangin' Tough,New Kids on the Block,N/A,"Electronic, Hip Hop"
