año,posición,título,artista,fecha_pico,género
1993,10,"""Would I Lie to You?"" ‡",Charles & Eddie,N/A,"Electronic, Funk / Soul"
1993,15,"""I Will Always Love You"" ‡ (#10)",Whitney Houston,N/A,"Electronic, Funk / Soul"
1993,3,"""Out of Space""/""Ruff in the Jungle Bizness"" ‡",The Prodigy,N/A,Electronic
1993,7,"""Heal the World"" ‡",Michael Jackson,N/A,"Funk / Soul, Pop"
1993,5,"""Tom Traubert's Blues""/""Waltzing Matilda"" ‡",Rod Stewart,N/A,Rock
1993,8,Could It Be Magic,Take That,N/A,"Electronic, Pop"
1993,5,"""Phorever People"" ‡",The Shamen,N/A,Electronic
1993,3,"""Miami Hit Mix"" ‡",Gloria Estefan,N/A,"Electronic, Pop"
1993,1,Someday (I'm Coming Back),Lisa Stansfield,N/A,"Electronic, Stage & Screen"
1993,6,Exterminate!,Snap! featuring Niki Haris,N/A,Electronic
