año,posición,título,artista,fecha_pico,género
1987,8,"""The Final Countdown"" ‡",Europe,N/A,Rock
1987,7,"""Livin' on a Prayer"" ‡",Bon Jovi,N/A,Rock
1987,8,"""Sometimes"" ‡",Erasure,N/A,"Electronic, Pop"
1987,6,"""Caravan of Love"" ‡",The Housemartins,N/A,Rock
1987,5,"""The Rain"" ‡","Oran ""Juice"" Jones",N/A,"Electronic, Hip Hop"
1987,5,"""Shake You Down"" ‡",Gregory Abbott,N/A,"Funk / Soul, Pop"
1987,5,"""Open Your Heart"" ‡",Madonna,N/A,Electronic
1987,7,"""Reet Petite"" ‡",Jackie Wilson,N/A,"Rock, Funk / Soul"
1987,4,Cry Wolf,A-ha,N/A,"Electronic, Pop"
1987,7,Is This Love?,Alison Moyet,N/A,"Electronic, Pop"
