año,posición,título,artista,fecha_pico,género
2018,15,"""Havana"" ‡",Camila Cabello featuring Young Thug,N/A,"Latin, Pop"
2018,14,"""Perfect"" ‡ (#6)",Ed Sheeran,N/A,"Singer, Dance-Pop"
2018,11,"""Anywhere"" ‡",Rita Ora,N/A,"Electronic, Pop"
2018,9,Man's Not Hot,Big Shaq,N/A,Hip Hop
2018,3,"""Wolves"" ‡",Selena Gomez & Marshmello,N/A,Pop
2018,7,"""I Miss You""",Clean Bandit featuring Julia Michaels,N/A,Pop
2018,3,"""17""",MK,N/A,Rock
2018,8,"""All I Want for Christmas Is You"" ‡",Mariah Carey,N/A,"Electronic, Rock"
2018,7,"""Last Christmas""",Wham!,N/A,"Electronic, Pop"
2018,6,"""Fairytale of New York""",The Pogues featuring Kirsty MacColl,N/A,N/A
