año,posición,título,artista,fecha_pico,género
1998,13,"""Something About the Way You Look Tonight""/""Candle in the Wind 1997"" ‡",Elton John,N/A,"Electronic, Rock"
1998,12,"""Barbie Girl"" ‡",Aqua,N/A,"Electronic, Pop"
1998,11,"""Torn"" ‡",Natalie Imbruglia,N/A,"Rock, Pop"
1998,15,Never Ever,All Saints,N/A,"Electronic, Pop"
1998,5,"""Baby Can I Hold You""/""Shooting Star"" ‡",Boyzone,N/A,Pop
1998,5,"""Teletubbies say ""Eh-oh!"" ‡",Teletubbies,N/A,"Pop, Children'S"
1998,10,"""Together Again"" ‡",Janet Jackson,N/A,"Electronic, Hip Hop"
1998,12,Angels,Robbie Williams,N/A,Pop
1998,4,"""Too Much"" ‡",Spice Girls,N/A,"Electronic, Pop"
1998,7,High,Lighthouse Family,N/A,"Electronic, Pop"
