año,posición,título,artista,fecha_pico,género
1970,14,"""Sugar, Sugar"" ‡",The Archies,N/A,Rock
1970,8,"""Yester-Me, Yester-You, Yesterday"" ‡",Stevie Wonder,N/A,Funk / Soul
1970,12,"""Ruby, Don't Take Your Love to Town"" ‡",Kenny Rogers and the First Edition,N/A,"Rock, Folk, World, & Country"
1970,2,"""The Liquidator"" ‡",Harry J All Stars,N/A,Reggae
1970,12,"""Two Little Boys"" ‡",Rolf Harris,N/A,"Pop, Folk, World, & Country"
1970,8,Melting Pot,Blue Mink,N/A,Rock
1970,9,Suspicious Minds,Elvis Presley,N/A,"Rock, Pop"
1970,4,"""Winter World of Love"" ‡",Engelbert Humperdinck,N/A,Pop
1970,6,Tracy,The Cuff Links,N/A,"Rock, Pop"
1970,7,All I Have to Do Is Dream,Bobbie Gentry & Glen Campbell,N/A,Pop
