año,posición,título,artista,fecha_pico,género
1996,12,"""Gangsta's Paradise"" ‡",Coolio,N/A,Hip Hop
1996,14,"""Missing (Todd Terry Remix)"" ‡",Everything but the Girl,N/A,Electronic
1996,9,"""I Believe""/""Up on the Roof"" ‡",Robson & Jerome,N/A,"Pop, Stage & Screen"
1996,11,"""Wonderwall"" ‡",Oasis,N/A,Rock
1996,10,"""Father and Son"" ‡",Boyzone,N/A,Pop
1996,8,"""It's Oh So Quiet"" ‡",Björk,N/A,"Electronic, Jazz"
1996,9,"""Earth Song"" ‡",Michael Jackson,N/A,"Electronic, Funk / Soul"
1996,2,"""Wonderwall"" ‡",The Mike Flowers Pops,N/A,"Electronic, Jazz"
1996,3,I Am Blessed,Eternal,N/A,"Electronic, Funk / Soul"
1996,1,Creep '96,TLC,N/A,R&B
