año,posición,título,artista,fecha_pico,género
2016,22,"""What Do You Mean?"" ‡",Justin Bieber,N/A,"Electronic, Funk / Soul"
2016,14,"""Hello"" ‡",Adele,N/A,"Funk / Soul, Blues"
2016,7,"""Never Forget You"" ‡",Zara Larsson & MNEK,N/A,Pop
2016,7,"""Sax"" ‡",Fleur East,N/A,"Hip Hop, Funk / Soul"
2016,7,"""You Don't Own Me"" ‡",Grace featuring G-Eazy,N/A,N/A
2016,7,"""Sweet Lovin'"" ‡",Sigala featuring Bryn Christopher,N/A,N/A
2016,6,"""Adventure of a Lifetime"" ‡",Coldplay,N/A,"Electronic, Hip Hop"
2016,8,History,One Direction,N/A,"Rock, Pop"
2016,10,"""Stitches""",Shawn Mendes,N/A,"Rock, Pop"
2016,4,The Girl Is Mine,99 Souls featuring Destiny's Child & Brandy,N/A,N/A
