año,posición,título,artista,fecha_pico,género
2011,4,"""Make You Feel My Love"" ‡",Adele,N/A,"Jazz, Funk / Soul"
2011,9,"""Firework"" ‡",Katy Perry,N/A,"Electronic, Pop"
2011,11,"""Only Girl (In the World)"" ‡",Rihanna,N/A,"Hip Hop, Funk / Soul"
2011,6,"""The Flood"" ‡",Take That,N/A,Pop
2011,8,"""Your Song"" ‡",Ellie Goulding,N/A,"Electronic, Rock"
2011,8,"""Like a G6"" ‡",Far East Movement featuring The Cataracs & Dev,N/A,"Electronic, Hip Hop"
2011,8,"""The Time (Dirty Bit)"" ‡",Black Eyed Peas,N/A,Hip Hop
2011,4,"""Thinking of Me"" ‡",Olly Murs,N/A,"Rock, Reggae"
2011,10,What's My Name?,Rihanna featuring Drake,N/A,"Electronic, Hip Hop"
2011,4,"""Who's That Chick?""",David Guetta featuring Rihanna,N/A,N/A
