año,posición,título,artista,fecha_pico,género
1961,12,"""It's Now or Never"" ‡",Elvis Presley,N/A,"Rock, Pop"
1961,11,"""Save the Last Dance for Me"" ‡",The Drifters,N/A,Rock
1961,5,"""My Heart Has a Mind of Its Own"" ‡",Connie Francis,N/A,Rock
1961,9,"""Man of Mystery""/""The Stranger"" ‡",The Shadows,N/A,"Rock, Pop"
1961,8,"""Goodness Gracious Me"" ‡",Peter Sellers & Sophia Loren,N/A,"Pop, Stage & Screen"
1961,6,"""Little Donkey"" ‡",Nina & Frederik,N/A,"Folk, World, & Country"
1961,9,I Love You,Cliff Richard & The Shadows,N/A,"Rock, Pop"
1961,6,"""Strawberry Fair"" ‡",Anthony Newley,N/A,Pop
1961,10,Poetry in Motion,Johnny Tillotson,N/A,Rock
1961,4,Perfidia,The Ventures,N/A,Rock
