año,posición,título,artista,fecha_pico,género
2013,17,"""Gangnam Style"" ‡",Psy,N/A,"Electronic, Hip Hop"
2013,14,"""Diamonds"" ‡",Rihanna,N/A,"Electronic, Pop"
2013,6,"""Don't You Worry Child"" ‡",Swedish House Mafia featuring John Martin,N/A,Electronic
2013,10,"""Beneath Your Beautiful"" ‡",Labrinth featuring Emeli Sandé,N/A,N/A
2013,6,"""Candy"" ‡",Robbie Williams,N/A,"Rock, Funk / Soul"
2013,10,"""Locked Out of Heaven"" ‡",Bruno Mars,N/A,"Electronic, Rock"
2013,8,"""Troublemaker"" ‡",Olly Murs featuring Flo Rida,N/A,N/A
2013,9,"""Impossible"" ‡",James Arthur,N/A,"Electronic, Pop"
2013,9,Scream & Shout,will.i.am & Britney Spears,N/A,"Electronic, Pop"
2013,10,"""Stay"" ‡",Rihanna featuring Mikky Ekko,N/A,Pop
