año,posición,título,artista,fecha_pico,género
2017,16,"""Say You Won't Let Go"" ‡",James Arthur,N/A,Pop
2017,15,"""Starboy"" ‡",The Weeknd featuring Daft Punk,N/A,N/A
2017,9,"""24K Magic"" ‡",Bruno Mars,N/A,"Electronic, Hip Hop"
2017,11,"""Shout Out to My Ex"" ‡",Little Mix,N/A,"Electronic, Pop"
2017,9,"""Sexual"" ‡",Neiked featuring Dyo,N/A,Pop
2017,15,"""Rockabye"" ‡",Clean Bandit featuring Sean Paul & Anne-Marie,N/A,Electronic
2017,8,"""All I Want for Christmas Is You""",Mariah Carey,N/A,"Hip Hop, Funk / Soul"
2017,13,"""Human"" ‡ (#8)",Rag'n'Bone Man,N/A,"Funk / Soul, Blues"
2017,4,"""Just Hold On"" ‡",Steve Aoki & Louis Tomlinson,N/A,"Electronic, Pop"
2017,6,I Would Like,Zara Larsson,N/A,"Electronic, Pop"
