año,posición,título,artista,fecha_pico,género
2006,10,"""Hung Up""‡",Madonna,N/A,Electronic
2006,8,"""My Humps""‡",Black Eyed Peas,N/A,"Hip Hop, Funk / Soul"
2006,6,"""Stickwitu""‡",The Pussycat Dolls,N/A,"Hip Hop, Pop"
2006,4,"""Ugly""‡",Sugababes,N/A,Pop
2006,8,"""JCB Song""‡",Nizlopi,N/A,Rock
2006,8,"""That's My Goal""‡",Shayne Ward,N/A,"Rock, Pop"
2006,4,"""Fairytale of New York""‡",The Pogues featuring Kirsty MacColl,N/A,N/A
2006,4,When I'm Gone,Eminem,N/A,Hip Hop
2006,2,"""See the Day""‡",Girls Aloud,N/A,"Electronic, Pop"
2006,2,Goodbye My Lover,James Blunt,N/A,Rock
