año,posición,título,artista,fecha_pico,género
2015,12,"""All About That Bass"" ‡",Meghan Trainor,N/A,"Funk / Soul, Pop"
2015,20,"""Thinking Out Loud"" ‡",Ed Sheeran,N/A,"Rock, Pop"
2015,7,"""Outside"" ‡",Calvin Harris featuring Ellie Goulding,N/A,"Electronic, Pop"
2015,2,"""Like I Can"" ‡",Sam Smith,N/A,Pop
2015,5,"""Wrapped Up"" ‡",Olly Murs featuring Travie McCoy,N/A,N/A
2015,10,"""Blank Space"" ‡",Taylor Swift,N/A,Pop
2015,6,"""These Days"" ‡",Take That,N/A,Pop
2015,18,"""Uptown Funk"" ‡ (#1)",Mark Ronson featuring Bruno Mars,N/A,"Hip Hop, Funk / Soul"
2015,6,"""Something I Need"" ‡",Ben Haenow,N/A,"Rock, Pop"
2015,7,"""Up"" ‡",Olly Murs featuring Demi Lovato,N/A,N/A
