año,posición,título,artista,fecha_pico,género
1983,8,"""Save Your Love"" ‡",Renée and Renato,N/A,Pop
1983,5,"""Beat Surrender"" ‡",The Jam,N/A,"Rock, Funk / Soul"
1983,5,"""Truly"" ‡",Lionel Richie,N/A,Funk / Soul
1983,7,"""Time (Clock of the Heart)"" ‡",Culture Club,N/A,Pop
1983,4,"""The Shakin' Stevens EP"" ‡",Shakin' Stevens,N/A,Pop
1983,5,"""Our House"" ‡",Madness,N/A,Rock
1983,5,Best Years of Our Lives,Modern Romance,N/A,"Reggae, Pop"
1983,4,"""Peace on Earth""/""Little Drummer Boy"" ‡",David Bowie & Bing Crosby,N/A,"Electronic, Rock"
1983,8,You Can't Hurry Love,Phil Collins,N/A,Pop
1983,5,A Winter's Tale,David Essex,N/A,"Rock, Pop"
