año,posición,título,artista,fecha_pico,género
1956,20,"""Rock Around the Clock"" ‡",Bill Haley & His Comets,N/A,Rock
1956,11,"""Love Is a Many-Splendored Thing"" ‡",The Four Aces,N/A,"Pop, Stage & Screen"
1956,6,"""Christmas Alphabet"" ‡",Dickie Valentine,N/A,Pop
1956,5,Suddenly There's a Valley,Petula Clark,N/A,Pop
1956,6,Rock-A-Beatin' Boogie,Bill Haley & His Comets,N/A,Rock
1956,8,Sixteen Tons,Tennessee Ernie Ford,N/A,"Funk / Soul, Pop"
1956,7,The Ballad of Davy Crockett,Bill Hayes,N/A,"Pop, Stage & Screen"
1956,6,Love and Marriage,Frank Sinatra,N/A,"Jazz, Pop"
1956,4,The Ballad of Davy Crockett,Tennessee Ernie Ford,N/A,"Children'S, Folk, World, & Country"
1956,8,(Love Is) The Tender Trap,Frank Sinatra,N/A,"Jazz, Pop"
