año,posición,título,artista,fecha_pico,género
1958,15,"""Diana"" ‡",Paul Anka,N/A,"Rock, Pop"
1958,9,"""Mary's Boy Child"" ‡",Harry Belafonte,N/A,Pop
1958,8,"""Wake Up Little Susie"" ‡",The Everly Brothers,N/A,Rock
1958,11,"""Ma! He's Making Eyes at Me"" ‡",Johnny Otis & His Orchestra with Marie Adams,N/A,Pop
1958,9,My Special Angel,Malcolm Vaughan,N/A,Jazz
1958,4,"""Alone"" ‡",Petula Clark,N/A,Pop
1958,7,Reet Petite,Jackie Wilson,N/A,"Rock, Funk / Soul"
1958,12,"All the Way""/""Chicago",Frank Sinatra,N/A,Jazz
1958,7,Great Balls of Fire,Jerry Lee Lewis,N/A,Rock
1958,4,Kisses Sweeter than Wine,Jimmie Rodgers,N/A,Rock
