año,posición,título,artista,fecha_pico,género
1981,8,"""Super Trouper"" ‡",ABBA,N/A,"Electronic, Pop"
1981,7,"""(Just Like) Starting Over"" ‡",John Lennon,N/A,Rock
1981,6,"""Embarrassment"" ‡",Madness,N/A,Rock
1981,5,"""There's No One Quite Like Grandma"" ‡",St Winifred's School Choir,N/A,Pop
1981,6,"""Stop the Cavalry"" ‡",Jona Lewie,N/A,"Electronic, Pop"
1981,6,"""De Do Do Do, De Da Da Da"" ‡",The Police,N/A,Rock
1981,4,"""Runaway Boys"" ‡",Stray Cats,N/A,Rock
1981,9,Antmusic,Adam and the Ants,N/A,"Rock, Pop"
1981,5,"""Happy Xmas (War Is Over)""","John Lennon, Yoko Ono & Plastic Ono Band with the Harlem Community Choir",N/A,Rock
1981,8,"""Imagine""",John Lennon,N/A,Rock
