año,posición,título,artista,fecha_pico,género
2012,14,"""We Found Love"" ‡",Rihanna featuring Calvin Harris,N/A,N/A
2012,7,"""Sexy and I Know It"" ‡",LMFAO,N/A,"Electronic, Hip Hop"
2012,9,"""Earthquake"" ‡",Labrinth featuring Tinie Tempah,N/A,N/A
2012,8,"""Lego House"" ‡",Ed Sheeran,N/A,"Hip Hop, Rock"
2012,11,Good Feeling,Flo Rida,N/A,"Electronic, Hip Hop"
2012,8,"""Dance with Me Tonight"" ‡",Olly Murs,N/A,Pop
2012,8,"""Levels"" ‡",Avicii,N/A,Electronic
2012,6,"""Dedication to My Ex (Miss That)"" ‡",Lloyd featuring André 3000 & Lil Wayne,N/A,N/A
2012,7,Paradise,Coldplay,N/A,"Electronic, Rock"
2012,3,"""Cannonball"" ‡",Little Mix,N/A,"Electronic, Funk / Soul"
