año,posición,título,artista,fecha_pico,género
1960,13,"""Travellin' Light"" ‡",Cliff Richard & The Shadows,N/A,"Rock, Pop"
1960,10,"""Red River Rock"" ‡",Johnny and the Hurricanes,N/A,Rock
1960,15,"""What Do You Want to Make Those Eyes at Me For?"" ‡",Emile Ford & The Checkmates,N/A,Rock
1960,12,"""Oh! Carol"" ‡",Neil Sedaka,N/A,Pop
1960,11,"""What Do You Want?"" ‡",Adam Faith,N/A,Rock
1960,8,"""Seven Little Girls Sitting in the Backseat""",The Avons,N/A,N/A
1960,4,"""Rawhide""",Frankie Laine,N/A,"Rock, Folk, World, & Country"
1960,7,Staccato's Theme,Elmer Bernstein,N/A,Jazz
1960,6,"""Little White Bull""",Tommy Steele,N/A,Pop
1960,1,Jingle Bell Rock,Max Bygraves,N/A,"Jazz, Pop"
