año,posición,título,artista,fecha_pico,género
1959,11,"""It's All in the Game"" ‡",Tommy Edwards,N/A,"Rock, Pop"
1959,13,"""Hoots Mon"" ‡",Lord Rockingham's XI,N/A,Pop
1959,12,"""It's Only Make Believe"" ‡",Conway Twitty,N/A,Rock
1959,9,Tea for Two Cha Cha,The Tommy Dorsey Orchestra starring Warren Covington,N/A,"Jazz, Latin"
1959,9,"""Tom Dooley"" ‡",Lonnie Donegan,N/A,"Rock, Folk, World, & Country"
1959,8,Love Makes the World Go 'Round,Perry Como,N/A,"Rock, Pop"
1959,7,"""Tom Dooley""",The Kingston Trio,N/A,"Pop, Folk, World, & Country"
1959,7,"""High Class Baby"" ‡",Cliff Richard & The Drifters,N/A,Rock
1959,9,The Day the Rains Came,Jane Morgan,N/A,Pop
1959,2,"""Come On, Let's Go""",Tommy Steele,N/A,"Rock, Funk / Soul"
