año,posición,título,artista,fecha_pico,género
1995,7,"""Crocodile Shoes"" ‡",Jimmy Nail,N/A,"Rock, Pop"
1995,8,"""Stay Another Day"" ‡",East 17,N/A,"Electronic, Pop"
1995,5,"""All I Want for Christmas Is You"" ‡",Mariah Carey,N/A,"Electronic, Rock"
1995,17,"""Think Twice"" (#5)",Celine Dion,N/A,Pop
1995,8,Love Me for a Reason,Boyzone,N/A,Pop
1995,2,"""Another Day""",Whigfield,N/A,Electronic
1995,10,Cotton Eye Joe,Rednex,N/A,"Electronic, Folk, World, & Country"
1995,4,"""Whatever"" ‡",Oasis,N/A,"Rock, Pop"
1995,9,Here Comes the Hotstepper,Ini Kamoze,N/A,Hip Hop
1995,9,Set You Free,N-Trance,N/A,Electronic
