año,posición,título,artista,fecha_pico,género
1978,10,"""How Deep Is Your Love"" ‡",Bee Gees,N/A,Funk / Soul
1978,7,"""Daddy Cool/The Girl Can't Help It"" ‡",Darts,N/A,Rock
1978,12,"""Mull of Kintyre""/""Girls' School"" ‡",Wings,N/A,Rock
1978,7,"""I Will"" ‡",Ruby Winters,N/A,Funk / Soul
1978,8,"""The Floral Dance"" ‡",Brighouse and Rastrick Brass Band,N/A,Brass & Military
1978,8,Love's Unkind,Donna Summer,N/A,Electronic
1978,7,It's a Heartache,Bonnie Tyler,N/A,Rock
1978,4,Don't It Make My Brown Eyes Blue,Crystal Gayle,N/A,"Rock, Pop"
1978,1,My Way,Elvis Presley,N/A,"Rock, Pop"
1978,4,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,N/A,Funk / Soul
