año,posición,título,artista,fecha_pico,género
2004,12,"""Hey Ya!""",Outkast,N/A,Hip Hop
2004,7,"""Leave Right Now"" ‡",Will Young,N/A,"Rock, Pop"
2004,6,"""I'm Your Man"" ‡",Shane Richie,N/A,"Electronic, Rock"
2004,7,"""Shut Up"" ‡",Black Eyed Peas,N/A,Hip Hop
2004,7,"""Changes"" ‡",Ozzy & Kelly Osbourne,N/A,"Electronic, Rock"
2004,6,"""Mad World"" ‡",Michael Andrews featuring Gary Jules,N/A,"Electronic, Rock"
2004,3,"""Christmas Time (Don't Let the Bells End)"" ‡",The Darkness,N/A,Rock
2004,2,"""Proper Crimbo"" ‡",Bo' Selecta!,N/A,Pop
2004,2,"""Happy Xmas (War Is Over)"" ‡",The Idols,N/A,Pop
2004,3,"""Ladies' Night"" ‡",Atomic Kitten featuring Kool & the Gang,N/A,Electronic
