año,posición,título,artista,fecha_pico,género
1979,7,"""Mary's Boy Child – Oh My Lord"" ‡",Boney M.,N/A,Electronic
1979,6,"""I Lost My Heart to a Starship Trooper"" ‡",Sarah Brightman and Hot Gossip,N/A,Electronic
1979,6,"""Too Much Heaven"" ‡",Bee Gees,N/A,Rock
1979,8,"""Le Freak"" ‡",Chic,N/A,Funk / Soul
1979,9,Y.M.C.A.,The Village People,N/A,Funk / Soul
1979,5,"""You Don't Bring Me Flowers"" ‡",Barbra Streisand and Neil Diamond,N/A,Rock
1979,7,Lay Your Love on Me,Racey,N/A,Rock
1979,5,Song for Guy,Elton John,N/A,Pop
1979,7,Hit Me with Your Rhythm Stick,Ian Dury & The Blockheads,N/A,Rock
1979,5,September,"Earth, Wind & Fire",N/A,Funk / Soul
