año,posición,título,artista,fecha_pico,género
2000,7,"""The Millennium Prayer"" ‡",Cliff Richard,N/A,Pop
2000,7,"""Back in My Life"" ‡",Alice Deejay,N/A,Electronic
2000,8,"""Re-Rewind (The Crowd Say Bo Selecta)"" ‡",Artful Dodger featuring Craig David,N/A,N/A
2000,1,"""Right Now"" ‡",Atomic Kitten,N/A,"Electronic, Pop"
2000,5,"""Kiss (When the Sun Don't Shine)"" ‡",Vengaboys,N/A,Electronic
2000,4,"""Barber's Adagio for Strings"" ‡",William Orbit,N/A,"Electronic, House"
2000,3,"""Steal My Sunshine"" ‡",Len,N/A,"Electronic, Hip Hop"
2000,6,"""I Have a Dream""/""Seasons in the Sun"" ‡",Westlife,N/A,Pop
2000,4,"""Imagine"" ‡",John Lennon,N/A,Rock
2000,3,"""Cognoscenti vs. Intelligentsia"" ‡",Cuban Boys,N/A,Electronic
