año,posición,título,artista,fecha_pico,género
1999,12,"""Believe"" ‡",Cher,N/A,"Electronic, Latin"
1999,15,"Heartbeat""/""Tragedy",Steps,N/A,"Electronic, Pop"
1999,4,"""Miami"" ‡",Will Smith,N/A,"Electronic, Hip Hop"
1999,10,"""When You're Gone"" ‡",Bryan Adams featuring Melanie C,N/A,Rock
1999,4,"""To You I Belong"" ‡",B*Witched,N/A,Pop
1999,5,"""End of the Line"" ‡",Honeyz,N/A,Hip Hop
1999,4,"""Goodbye"" ‡",Spice Girls,N/A,"Electronic, Pop"
1999,5,Chocolate Salty Balls,Chef,N/A,"Electronic, Rock"
1999,3,"""Especially for You"" ‡",Denise & Johnny featuring Steps,N/A,N/A
1999,1,"""1999""",Prince,N/A,"Rock, Funk / Soul"
