año,posición,título,artista,fecha_pico,género
1966,17,"""Tears"" ‡",Ken Dodd,N/A,Pop
1966,11,"""The Carnival Is Over"" ‡",The Seekers,N/A,"Rock, Folk, World, & Country"
1966,7,"""My Generation"" ‡",The Who,N/A,"Rock, Blues"
1966,7,"""1-2-3"" ‡",Len Barry,N/A,"Funk / Soul, Pop"
1966,9,"""Wind Me Up (Let Me Go)"" ‡",Cliff Richard,N/A,Rock
1966,5,"""A Lover's Concerto"" ‡",The Toys,N/A,"Funk / Soul, Pop"
1966,9,"""Day Tripper""/""We Can Work It Out"" ‡",The Beatles,N/A,"Rock, Pop"
1966,8,My Ship Is Comin' In,The Walker Brothers,N/A,"Rock, Pop"
1966,7,Let's Hang On!,The Four Seasons,N/A,"Rock, Pop"
1966,7,Keep On Running,The Spencer Davis Group,N/A,"Rock, Pop"
