año,posición,título,artista,fecha_pico,género
2009,9,"""Sex on Fire"" ‡",Kings of Leon,N/A,Rock
2009,11,"""Hot n Cold"" ‡",Katy Perry,N/A,"Rock, Pop"
2009,10,"""If I Were a Boy"" ‡",Beyoncé,N/A,"Funk / Soul, Pop"
2009,8,"""Womanizer"" ‡",Britney Spears,N/A,"Electronic, Pop"
2009,7,"""Human"" ‡",The Killers,N/A,Rock
2009,6,"""Greatest Day"" ‡",Take That,N/A,"Rock, Pop"
2009,7,"""Run"" ‡",Leona Lewis,N/A,Pop
2009,13,"""Use Somebody"" ‡",Kings of Leon,N/A,Rock
2009,5,"""Hallelujah"" ‡",Alexandra Burke,N/A,"Funk / Soul, Pop"
2009,2,"""Hallelujah"" ‡",Jeff Buckley,N/A,Rock
