año,posición,título,artista,fecha_pico,género
1975,8,"""You're The First, The Last, My Everything"" ‡",Barry White,N/A,Funk / Soul
1975,8,"""Juke Box Jive"" ‡",The Rubettes,N/A,Rock
1975,6,"""Oh Yes! You're Beautiful"" ‡",Gary Glitter,N/A,Rock
1975,6,"""You Ain't Seen Nothing Yet"" ‡",Bachman-Turner Overdrive,N/A,Rock
1975,5,My Boy,Elvis Presley,N/A,"Rock, Pop"
1975,6,"""Lonely This Christmas"" ‡",Mud,N/A,"Rock, Pop"
1975,4,Wombling Merry Christmas,The Wombles,N/A,"Rock, Children'S"
1975,6,Streets of London,Ralph McTell,N/A,"Pop, Folk, World, & Country"
1975,4,"""Get Dancin'"" ‡",Disco-Tex and the Sex-O-Lettes,N/A,Funk / Soul
1975,1,"The Inbetweenies""/""Father Christmas Do Not Touch Me",The Goodies,N/A,Pop
