año,posición,título,artista,fecha_pico,género
1969,9,"""Ain't Got No, I Got Life""/""Do What You Gotta Do"" ‡",Nina Simone,N/A,Funk / Soul
1969,10,"""Lily the Pink"" ‡",The Scaffold,N/A,Rock
1969,8,"""Build Me Up Buttercup"" ‡",The Foundations,N/A,"Rock, Funk / Soul"
1969,7,"""I'm the Urban Spaceman"" ‡",Bonzo Dog Doo-Dah Band,N/A,Pop
1969,5,"""Sabre Dance"" ‡",Love Sculpture,N/A,"Rock, Pop"
1969,9,"Ob-La-Di, Ob-La-Da",Marmalade,N/A,Rock
1969,10,Albatross,Fleetwood Mac,N/A,Rock
1969,2,Son of a Preacher Man,Dusty Springfield,N/A,Funk / Soul
1969,5,Something's Happening,Herman's Hermits,N/A,Pop
1969,7,For Once in My Life,Stevie Wonder,N/A,Funk / Soul
